"","scenario","metric_criterion","MC_Lower (5%)","MC_Median (50%)","MC_Upper (50%)","Temp_Lower (5%)","Temp_Median (50%)","Temp_Upper (50%)","CO2_Lower (5%)","CO2_Median (50%)","CO2_Upper (50%)","Ocean_Uptake_Lower (5%)","Ocean_Uptake_Median (50%)","Ocean_Uptake_Upper (50%)"
"1","SSP1-1.9","short",0.359823287485283,0.706707335602254,1.11163425737955,0.521239388945897,0.790912966958623,1.07897367579956,0.383307755192396,0.714696964105055,1.13405632370151,0.329204523880478,0.666741363888427,1.1137332614602
"2","SSP1-1.9","mid",0.42069367377108,0.825586666522434,1.32300330717163,0.558137748858665,0.913328874821601,1.33788871375882,0.451132345049713,0.84677017135776,1.35291937673673,0.391026677165184,0.784112571742086,1.30613936233388
"3","SSP1-1.9","long",0.196553066809377,0.620620644830968,1.2291117895775,0.306103374340712,0.702770584861367,1.26787471419651,0.225591145879042,0.648226142478368,1.25785012935345,0.168779234002195,0.578880898350124,1.1976368223779
"4","SSP2-4.5","short",0.324221501181365,0.698142914500433,1.12468525881055,0.520658432780069,0.787426652478075,1.0689727753908,0.347210410451784,0.701626053125153,1.15249992876697,0.290283902701824,0.653594670744667,1.13404681328165
"5","SSP2-4.5","mid",0.743491773911726,1.21546666168557,1.78260525097827,0.928884861952222,1.3181099093589,1.75723423468683,0.768254718520821,1.2339021381614,1.81803121826842,0.69751380073567,1.16546196834852,1.77731139704296
"6","SSP2-4.5","long",1.1678172297656,1.8628789596867,2.74004704574413,1.35975437785591,1.98083133995604,2.75256679664965,1.20644435551905,1.89806169158078,2.78174233461189,1.12651341180495,1.80532259816549,2.71458411707779
"7","SSP3-7.0","short",0.316033309965133,0.706976987317798,1.14471280309317,0.536021208857143,0.802206098228646,1.08623499509454,0.340748193600108,0.708333193536749,1.17453648258275,0.28240194108276,0.659150986023741,1.1539302684745
"8","SSP3-7.0","mid",0.829688161047188,1.34677240471797,1.95476654880883,1.06497272494895,1.4653687185111,1.90919543104301,0.858276388137788,1.35747032153967,1.98946651864331,0.780184996506366,1.28858093685833,1.95483939775809
"9","SSP3-7.0","long",1.92025441154509,2.79405952854368,3.83486794934648,2.20399354900162,2.93810747538322,3.82030409162642,1.9647408028941,2.82550122525955,3.90798811955828,1.86469426998586,2.71917461530846,3.81707047887965
"10","SSP5-8.5","short",0.448461038510758,0.81589894315911,1.24085579562446,0.626246637969547,0.900224405253103,1.19180508032672,0.470454689718237,0.824498621145671,1.26571946435196,0.417539350123034,0.775382106737873,1.24646204451175
"11","SSP5-8.5","mid",1.12477521010381,1.65447212528603,2.26093994655183,1.30246516638483,1.74578639950464,2.2397683524405,1.15053201897568,1.67547125088957,2.30532440785905,1.08440716703387,1.60717311229776,2.25554628210057
"12","SSP5-8.5","long",2.6216637645396,3.63206800787252,4.82145540067985,2.86046523330735,3.74165839975654,4.78951387474456,2.65416876559514,3.67972458383075,4.88165912637076,2.56808563845626,3.57249670787478,4.80603870009823
